"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01001099999","2011-01-01","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  23.3","24","  15.6","24","1028.3","24","027.1","24"," 14.3"," 5"," 13.2","24"," 23.3","999.9","  27.0","*","  20.3"," "," 0.02","G","999.9","001000"
"01001099999","2011-01-02","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  29.0","24","  23.6","24","1017.4","24","016.2","24"," 16.2"," 5"," 10.6","24"," 15.5","999.9","  31.3"," ","  22.8"," "," 0.00","G","999.9","010000"
"01001099999","2011-01-03","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  29.2","24","  26.5","24","1007.5","24","006.3","24","  8.5"," 5"," 13.0","24"," 29.1","999.9","  32.4"," ","  25.9","*"," 0.00","G","999.9","001000"
"01001099999","2011-01-04","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  24.7","24","  19.3","24","1013.2","24","012.0","24","  6.2"," 6"," 24.9","24"," 31.1","999.9","  26.8","*","  21.6","*"," 0.08","G","999.9","001000"
"01001099999","2011-01-05","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  17.5","24","  11.5","24","1013.2","24","012.0","24","  7.0"," 4"," 23.6","24"," 36.9","999.9","  21.2","*","  11.5","*"," 0.00","G","999.9","001000"
"01001099999","2011-01-06","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  18.2","24","  16.2","24","1004.6","22","003.4","22","999.9"," 0"," 41.9","22"," 48.6","999.9","  24.3","*","  10.4"," "," 0.07","B","999.9","001000"
"01001099999","2011-01-07","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  23.6","24","  20.7","24","1008.6","23","007.4","23","999.9"," 0"," 30.7","23"," 40.8","999.9","  24.6","*","  22.6","*"," 0.67","G","999.9","000000"
"01001099999","2011-01-08","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  21.7","24","  18.3","24","1007.1","24","005.9","24","  5.2"," 5"," 16.6","24"," 31.1","999.9","  23.9","*","  18.0","*"," 0.03","G","999.9","001000"
"01001099999","2011-01-09","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  23.2","24","  20.6","24","1009.0","24","007.8","24","  2.7"," 5"," 24.4","24"," 31.1","999.9","  32.0","*","  17.8"," "," 0.26","G","999.9","001000"
"01001099999","2011-01-10","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  27.1","24","  20.6","24","1014.5","24","013.3","24","  9.3"," 6"," 22.4","24"," 33.0","999.9","  31.8","*","  24.4","*"," 0.00","G","999.9","001000"
"01001099999","2011-01-11","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  25.2","24","  20.0","24","1021.0","24","019.8","24","  4.6"," 6"," 20.2","24"," 25.3","999.9","  26.4"," ","  24.3"," "," 0.02","G","999.9","001000"
"01001099999","2011-01-12","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  24.2","24","  18.3","24","1021.3","24","020.1","24","  6.8"," 6"," 15.1","24"," 19.4","999.9","  26.1","*","  23.0"," "," 0.06","G","999.9","001000"
"01001099999","2011-01-13","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  23.9","24","  16.3","24","1015.5","24","014.3","24"," 13.6"," 6"," 11.6","24"," 17.5","999.9","  25.2"," ","  21.7"," "," 0.02","G","999.9","001000"
"01001099999","2011-01-14","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  23.1","24","  14.1","24","1006.4","24","005.2","24"," 18.0"," 5"," 12.4","24"," 21.4","999.9","  25.3","*","  19.9","*"," 0.00","G","999.9","001000"
"01001099999","2011-01-15","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  26.7","24","  20.9","24"," 992.8","24","991.6","24","  9.5"," 5"," 25.3","24"," 36.9","999.9","  31.5","*","  23.9"," "," 0.00","G","999.9","001000"
"01001099999","2011-01-16","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  34.6","24","  28.5","24"," 979.4","24","978.2","24"," 10.9"," 6"," 16.5","24"," 25.3","999.9","  39.2"," ","  27.9"," "," 0.01","G","999.9","011000"
"01001099999","2011-01-17","70.9333333","-8.6666667","9.0","JAN MAYEN NOR NAVY, NO","  32.9","24","  30.5","24"," 984.8","24","983.6","24","  7.4"," 6"," 24.4","24"," 33.0","999.9","  38.1","*","  30.2","*"," 0.00","G","999.9","001000"
