,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,1990,0.0,0.5833333333333317,1.2341269841269862,9.333333333333332,14.444444444444445,13.494047619047617,,16.948412698412696,9.722222222222221,6.722222222222223,-2.1666666666666656,-4.055555555555554
1,1991,0.8333333333333333,-5.222222222222221,,3.988095238095239,,14.47817460317461,,,,,2.8730158730158726,
2,1992,-3.067460317460316,,,,,,,,,,,
3,1993,,,-1.8730158730158721,,,,,,,,,
4,1994,,,,,,,,,12.494047619047615,,,-4.125000000000003
5,1995,,,,4.561507936507934,,,,,,,,
6,1996,,,,,,,,,,,,
7,1997,-5.638888888888888,,,,,,,,,,,
8,1998,,,,,,,,,,5.926587301587299,,
9,1999,,-8.930555555555555,,,,,,15.716269841269844,,,,
10,2000,,,,,,,,,,,,-0.5932539682539704
11,2001,,,-4.640873015873019,,,,,,,,-1.4801587301587302,
12,2002,,,,5.105158730158728,,,,,,,,
13,2003,,,,,11.861111111111112,,,,,4.537698412698414,,
14,2004,,,,4.436507936507938,,,17.7202380952381,,,,,
15,2005,-1.162698412698414,,,,,,,,13.053571428571425,,,
16,2006,,,,,,,,,,,,
17,2007,,,,,,,,,,,,
18,2008,,,,,10.144841269841274,,,,,,,
19,2009,-3.6349206349206375,,-2.019841269841272,,,,,,,,,
20,2010,,,,,,,,,,4.5753968253968225,,
21,2011,,,,,10.563492063492067,,,,,6.962301587301588,,
22,2012,,,,,,,,,,,,-9.456349206349207
23,2013,-6.980158730158731,,-7.48611111111111,,12.748015873015872,,,,11.873015873015879,,,
24,2014,-6.529761904761905,,1.650793650793649,,11.849206349206346,,,,,,0.29166666666666585,
25,2015,-3.5198412698412658,,1.3313492063492067,,,,,,,,2.289682539682545,
26,2016,,-0.4761904761904745,-0.1706349206349225,5.21626984126984,,,,,12.069444444444445,,-1.9821428571428572,-1.621031746031747
27,2017,,,,,,,,17.015873015873016,12.190476190476186,5.121031746031745,,-0.7242063492063483
28,2018,,,-5.8630952380952355,,13.103174603174601,,,,,,,
29,2019,-7.359126984126985,-0.7619047619047612,,,11.638888888888886,17.79761904761905,15.982142857142863,15.438492063492069,,,,1.5674603174603163
