,STATION,DATE,DEWP,DEWP_ATTRIBUTES,ELEVATION,FRSHTT,GUST,LATITUDE,LONGITUDE,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,MXSPD,NAME,PRCP,PRCP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,SNDP,STP,STP_ATTRIBUTES,TEMP,TEMP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES
0,99592099999,2000-01-01,50.2,21,0.0,0,999.9,49.9,-2.9,52.3,*,50.2,*,14.0,"BUOY 62103 CHANNEL LIGHTSHIP, UK",0.0,I,1024.6,21,999.9,999.9,0,51.3,22,9.4,21,8.7,21
1,99592099999,2000-01-02,49.4,23,0.0,0,999.9,49.9,-2.9,52.7,*,48.7,*,26.0,"BUOY 62103 CHANNEL LIGHTSHIP, UK",0.0,I,1025.7,24,999.9,999.9,0,51.3,24,9.6,24,13.0,24
2,99592099999,2000-01-03,49.8,21,0.0,0,999.9,49.9,-2.9,53.4,*,44.8,*,31.9,"BUOY 62103 CHANNEL LIGHTSHIP, UK",0.0,I,1019.2,20,999.9,999.9,0,51.5,23,8.0,22,26.7,21
3,99592099999,2000-01-04,44.0,23,0.0,0,999.9,49.9,-2.9,52.7,*,45.7,*,30.9,"BUOY 62103 CHANNEL LIGHTSHIP, UK",0.0,I,1016.4,24,999.9,999.9,0,48.9,24,12.9,24,17.8,22
4,99592099999,2000-01-05,46.9,17,0.0,0,999.9,49.9,-2.9,53.2,*,48.4,*,31.9,"BUOY 62103 CHANNEL LIGHTSHIP, UK",0.0,I,1013.6,19,999.9,999.9,0,51.5,20,8.9,20,24.4,17
5,99592099999,2000-01-06,47.0,22,0.0,0,999.9,49.9,-2.9,53.2,*,49.5,*,29.9,"BUOY 62103 CHANNEL LIGHTSHIP, UK",0.0,I,1014.8,22,999.9,999.9,0,51.6,22,10.4,21,20.8,20
6,99592099999,2000-01-07,46.1,19,0.0,0,999.9,49.9,-2.9,52.9,*,51.3,*,28.9,"BUOY 62103 CHANNEL LIGHTSHIP, UK",0.0,I,1019.1,21,999.9,999.9,0,52.0,23,12.1,19,21.9,22
7,99592099999,2000-01-08,40.5,22,0.0,0,999.9,49.9,-2.9,51.3,*,46.0,*,26.0,"BUOY 62103 CHANNEL LIGHTSHIP, UK",0.0,I,1019.0,21,999.9,999.9,0,49.4,23,12.0,22,18.4,22
8,99592099999,2000-01-09,35.4,23,0.0,0,999.9,49.9,-2.9,48.0,*,46.2,*,19.0,"BUOY 62103 CHANNEL LIGHTSHIP, UK",0.0,I,1028.4,23,999.9,999.9,0,46.9,24,14.0,23,12.6,24
9,99592099999,2000-01-10,38.3,20,0.0,0,999.9,49.9,-2.9,50.4,*,46.6,*,23.9,"BUOY 62103 CHANNEL LIGHTSHIP, UK",0.0,I,1035.0,19,999.9,999.9,0,48.4,21,13.5,18,11.3,21
10,99592099999,2000-01-11,44.8,20,0.0,0,999.9,49.9,-2.9,51.1,*,49.5,*,30.9,"BUOY 62103 CHANNEL LIGHTSHIP, UK",0.0,I,1033.5,19,999.9,999.9,0,50.3,21,12.1,18,22.5,19
11,99592099999,2000-01-12,41.8,22,0.0,0,999.9,49.9,-2.9,49.6,*,44.4,*,34.0,"BUOY 62103 CHANNEL LIGHTSHIP, UK",0.0,I,1023.7,22,999.9,999.9,0,46.6,23,8.7,21,29.7,22
12,99592099999,2000-01-13,36.3,22,0.0,0,999.9,49.9,-2.9,46.9,*,43.9,*,31.9,"BUOY 62103 CHANNEL LIGHTSHIP, UK",0.0,I,1016.3,22,999.9,999.9,0,44.9,23,10.7,22,17.2,19
13,99592099999,2000-01-14,35.3,23,0.0,0,999.9,49.9,-2.9,45.1,*,40.5,*,28.9,"BUOY 62103 CHANNEL LIGHTSHIP, UK",0.0,I,1022.5,22,999.9,999.9,0,43.3,23,12.4,22,22.2,22
14,99592099999,2000-01-15,39.1,22,0.0,0,999.9,49.9,-2.9,46.8,*,43.9,*,29.9,"BUOY 62103 CHANNEL LIGHTSHIP, UK",0.0,I,1033.7,23,999.9,999.9,0,45.7,23,11.9,23,24.3,23
15,99592099999,2000-01-16,36.1,22,0.0,0,999.9,49.9,-2.9,45.0,*,42.3,*,25.1,"BUOY 62103 CHANNEL LIGHTSHIP, UK",0.0,I,1039.6,23,999.9,999.9,0,43.7,23,12.2,23,18.3,23
16,99592099999,2000-01-17,39.8,23,0.0,0,999.9,49.9,-2.9,46.0,*,42.1,*,14.0,"BUOY 62103 CHANNEL LIGHTSHIP, UK",0.0,I,1038.8,21,999.9,999.9,0,44.0,23,8.2,22,9.4,22
