STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
99403399999,ALAMEDA,2005-04-19,2020-04-07,CA,US,37.772,-122.298,2
74506023239,ALAMEDA(USN),1973-01-01,1997-01-01,CA,US,37.733,-122.317,4
72594524283,ARCATA AIRPORT,1973-01-01,2020-04-08,CA,US,40.97806,-124.10861,60.96
99999924283,ARCATA AIRPORT,1949-12-01,1972-12-31,CA,US,40.978,-124.109,64
99404499999,ARENA COVE,2005-05-03,2020-04-07,CA,US,38.92,-123.7,2
72026799999,AUBURN MUNICIPAL,2004-05-25,2014-06-04,CA,US,38.955,-121.082,468
72026723224,AUBURN MUNICIPAL AIRPORT,2006-01-01,2020-04-08,CA,US,38.95472,-121.08194,466.65
99999923155,BAKERSFIELD KERN COUNTY ARPT,1948-01-01,1972-12-31,CA,US,35.434,-119.054,150
99999993216,BEALE AFB,1971-01-01,1971-01-01,CA,US,39.133,-121.433,34.4
72483799999,BEALE AFB,2000-01-03,2014-06-09,CA,US,39.133,-121.433,34
72483793216,BEALE AIR FORCE BASE,1959-07-01,2020-04-08,CA,US,39.13333,-121.43333,34.44
99999923157,BISHOP AIRPORT,1948-01-05,1972-12-31,CA,US,37.371,-118.358,1263.4
72480023157,BISHOP AIRPORT,1943-01-16,2020-04-08,CA,US,37.3711,-118.358,1250.29
72584523225,BLUE CANYON - NYACK ARPT,1973-01-01,2020-04-08,CA,US,39.2774,-120.7102,1608.12
99999923225,BLUE CANYON AP,1948-01-01,1967-03-31,CA,US,39.277,-120.71,1610.3
99265099999,BLUNTS REEF,1985-03-12,2002-04-10,null,US,40.42,-124.53,3
99999993245,BODEGA 6 WSW,2008-06-15,2020-04-08,CA,US,38.3208,-123.0747,19.2
99249099999,BODEGA BAY - 48NM NORTH NORTHWEST OF SAN,1982-02-08,2018-04-25,null,US,38.23,-123.32,0
72499599999,BODEGA BAY COAST GUARD LIGHT STA,1975-09-17,1981-07-20,null,US,38.32,-123.05,3
72065200433,BRIDGEPORT SONORA JUNCTION,2009-08-27,2020-04-08,CA,US,38.3557,-119.519,2057.1
72495023254,BUCHANAN FIELD AIRPORT,2010-08-01,2020-04-08,CA,US,37.9917,-122.055,5.49
99999924212,BURNEY,1948-01-01,1948-09-27,CA,US,40.883,-121.667,962.6
72595624212,BURNEY,1973-02-26,1974-04-25,CA,US,40.883,-121.667,957
72495799999,C M SCHULZ SONOMA CO,1943-04-08,2014-06-02,CA,US,38.517,-122.817,38
72068199999,CALAVERAS CO MAURY RASMUSSEN FLD,2016-05-26,2020-04-07,CA,US,38.146118,-120.648172,403.86
99238099999,CAPE SAN MARTIN - 55NM WEST NORTHWEST OF,1985-05-08,2018-04-25,null,US,35.74,-121.89,0
72054900171,CARSON AIRPORT,2010-07-14,2020-04-08,NV,US,39.183,-119.733,1432.26
72054999999,CARSON CITY AIRPORT,2010-07-14,2018-02-11,NV,US,39.192222,-119.734444,1431.64
72481099999,CASTLE,2007-03-15,2014-06-02,CA,US,37.380481,-120.568189,57.6
72481023203,CASTLE AFB,1942-01-01,2020-04-08,CA,US,37.38333,-120.56667,58.22
72497099999,CHICO CALIFORNIA MAP,1942-05-06,1976-02-25,CA,US,39.783,-121.85,69
72497399999,CHICO MUNI,1942-05-06,2014-06-09,CA,US,39.8,-121.867,73
72497199999,CHICO MUNICIPAL   &,1976-03-07,1989-09-16,CA,US,39.783,-121.85,73
72497393203,CHICO MUNICIPAL AIRPORT,2009-03-14,2020-04-08,CA,US,39.8,-121.85,82.91
72061599999,COLUMBIA,2009-01-20,2018-05-15,CA,US,38.030422,-120.414556,645.56
72061500206,COLUMBIA AIRPORT,2009-01-20,2020-04-08,CA,US,38.033,-120.417,646.18
99999923254,CONCORD CONCORD-BUCHANAN FIEL,1969-01-01,1970-01-01,CA,US,37.992,-122.055,18.3
72495023250,CONCORD/BUCHANAN,1996-01-01,2014-06-09,CA,US,37.983,-122.05,12
72493623254,CONCORD/BUCHANAN,1985-12-13,2010-07-31,CA,US,37.992,-122.055,18.3
72493699999,CONCORD/BUCHANAN,2010-08-01,2010-08-17,CA,US,37.983,-122.05,7
72492523240,CROWS LANDING,1973-01-16,1993-07-30,CA,US,37.4,-121.133,56.7
74492599999,CROWS LANDING CALIFORNIA NAAS,1945-03-01,1946-05-31,CA,US,37.4,-121.1,50
72057699999,DAVIS,2008-07-21,2018-05-14,CA,US,38.5333333,-121.783333,21
99847499999,DAVIS POINT  SAN PABLO BAY,2011-09-09,2020-04-07,CA,US,38.057,-122.259,10
99999923226,DONNER SUMMIT,1948-11-01,1952-01-31,CA,US,39.317,-120.333,2194
99999923272,DOWNTOWN,1945-01-01,1948-01-01,CA,US,37.7705,-122.4269,45.72
99274099999,EEL RIVER - 17NM WEST-SOUTHWEST OF EUREK,1982-12-09,2018-04-25,null,US,40.78,-124.54,0
99799799999,ELKHORN SLOUGH RESERVE,2007-10-16,2020-04-07,CA,US,36.8166666,-121.7333333,3
74013499999,ENVIRONM BUOY 46012,1982-01-08,1985-04-25,null,US,37.4,-122.7,0
72594099999,EUREKA,1948-01-01,2014-06-02,CA,US,40.8,-124.167,18
74516099999,FAIRFIELD/TRAVIS AF,2000-01-01,2014-05-07,CA,US,38.267,-121.95,22
99999923250,FARALLON ISLAND NAS,1945-07-01,1945-08-01,CA,US,37.7,-123,9.1
72590099999,FORT BRAGG,1943-06-07,1996-06-30,CA,US,39.4,-123.82,19
72389723167,FRESNO CHANDLER DOWNTOWN AP,1995-04-30,1997-09-23,CA,US,36.73333,-119.81667,84.12
72389799999,FRESNO CHANDLER EXECUTIVE,2015-07-17,2020-04-07,CA,US,36.732364,-119.819897,84.73
99999923167,FRESNO CHANDLER FIELD,1948-01-01,1949-09-01,CA,US,36.733,-119.817,84.1
72389093193,FRESNO YOSEMITE INTERNATIONAL AIRPORT,1941-12-04,2020-04-08,CA,US,36.78,-119.7194,101.5
99999993193,FRESNO YOSEMITE INTL AP,1965-01-01,1971-12-31,CA,US,36.78,-119.719,99.7
69007093217,FRITZSCHE AAF,1960-04-04,1993-08-31,CA,US,36.683,-121.767,43
72491693217,FRITZSCHE AAF,1973-01-02,1990-12-28,CA,US,36.68333,-121.76667,null
99999993217,FRITZSCHE AAF,1971-01-01,1971-01-01,CA,US,36.683,-121.767,43.9
72040699999,GNOSS FIELD AIRPORT,2007-11-14,2017-05-31,CA,US,38.15,-122.55,0.6
72040600135,GNOSS FIELD AIRPORT,2013-01-01,2020-04-08,CA,US,38.15,-122.55,1.22
