STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
03405099999,ABERDARON,1994-10-01,2020-04-07,null,UK,52.7833333,-4.7333333,94
03404099999,ABERDOVEY,1978-12-04,1990-10-12,null,UK,52.55,-4.067,22
03411099999,ABERHOSAN,1992-08-01,2003-10-19,null,UK,52.567,-3.717,244
03502099999,ABERPORTH,1973-01-01,2020-04-07,null,UK,52.1333333,-4.5666667,134
03653099999,ABINGDON(RAF),1973-01-01,1975-11-06,null,UK,51.683,-1.317,80
03562199999,ALCONBURY RAF,1973-01-01,1988-01-05,null,UK,52.367,-0.217,49
03562099999,ALCONBURY RAF,1943-01-18,1956-01-28,null,UK,52.3666666,-0.2166666,47.87
03562399999,ALCONBURY RAF     &,1943-01-18,1995-03-31,null,UK,52.367,-0.217,49
03598099999,ALDEBURGH,1973-04-02,1988-10-27,null,UK,52.15,1.6,9
03891599999,ALDERNEY,1988-10-16,2020-04-07,null,GK,49.706111,-2.214722,88.39
03303099999,AMLWCH,1988-05-01,1999-01-26,null,UK,53.383,-4.367,114
03684099999,ANDREWSFIELD,1998-03-01,2020-04-07,null,UK,51.8833333,0.45,87
03793099999,ANVIL GREEN,1973-01-01,1992-03-31,null,UK,51.2,1.017,139
03860099999,ANVIL POINT,1978-01-11,1981-09-25,null,UK,50.583,-1.967,34
03795199999,ASHFORD,1973-01-01,1974-10-19,null,UK,51.15,0.883,107
74900299999,ATTLEBOROUGH,1943-09-01,1945-08-25,null,UK,52.5,0.95,32
03322099999,AUGHTON,1978-08-01,1996-03-31,null,UK,53.55,-2.917,56
03409099999,BALA,2011-06-27,2020-04-07,null,UK,52.9,-3.5833333,163
03526099999,BARBOURNE,1997-12-01,2003-07-17,null,UK,52.2,-2.217,25
03400099999,BARDSEY ISL (LGT-H),1973-01-01,1987-03-26,null,UK,52.75,-4.8,16
07019099999,BARFLEUR (POINT),1985-07-01,2012-11-29,null,FR,49.7,-1.2666667,7
03372399999,BARKSTON HEATH,2002-05-07,2019-07-15,null,UK,52.962225,-0.561625,111.86
03567199999,BASSINGBOURN,1950-11-01,1951-10-26,null,UK,52.1,-0.05,23
03824099999,BASTREET,1975-04-01,2003-02-26,null,UK,50.567,-4.483,238
03499099999,BECAME STN 034991,1973-06-01,1982-06-01,null,UK,52.717,2.3,5
03794099999,BECAME STN 037941,1973-03-08,1979-09-04,null,UK,51.15,1.383,91
03593099999,BECCLES (AUX),1990-02-01,1995-04-09,null,UK,52.433,1.617,22
03560099999,BEDFORD,1987-04-09,2020-04-07,null,UK,52.2166666,-0.4833333,84
03558099999,BEDFORD AIRPORT,1942-09-25,1994-03-31,null,UK,52.217,-0.483,89
03658099999,BENSON,1973-01-01,2020-04-07,null,UK,51.616389,-1.095833,68.88
03657099999,BENSON (AUT),1984-07-13,1993-06-24,null,UK,51.617,-1.1,57
99999935048,BENTWATERS,1951-06-06,1967-12-31,null,UK,52.133,1.433,25.9
03596335048,BENTWATERS RAF,1945-01-01,1993-03-31,null,UK,52.133,1.433,26
03596399999,BENTWATERS RAF,1945-01-01,1992-12-29,null,UK,52.1333333,1.4333333,25.91
03596199999,BENTWATERS RAF,1973-01-01,1988-01-05,null,UK,52.133,1.433,26
03626099999,BERRY HILL,1981-11-01,1983-03-12,null,UK,51.8,-2.617,25
03766399999,BIGGIN HILL,1988-01-05,2020-04-07,null,UK,51.330833,0.0325,182.27
03766199999,BIGGIN HILL,1984-05-19,1988-01-05,null,UK,51.283,0.033,0
03388099999,BINBROOK(RAF),1973-01-01,1992-07-03,null,UK,53.45,-0.2,108
03344099999,BINGLEY NO.2,1973-01-01,2020-04-07,null,UK,53.8166666,-1.8666666,267
03534099999,BIRMINGHAM,1973-01-01,2020-04-07,null,UK,52.453856,-1.748028,99.66
03531099999,BIRMINGHAM/EDBASTON,1973-01-01,1979-10-12,null,UK,52.483,-1.933,163
03318099999,BLACKPOOL,1973-01-01,2020-04-07,null,UK,53.771667,-3.028611,10.36
03782099999,BLACKWALL,1976-03-25,1986-05-16,null,UK,51.517,0.017,5
15003099999,BOGUS ROMANIAN,1985-12-02,1991-04-18,null,RO,52.233,0.467,86.9
03746099999,BOSCOMBE DOWN,1973-01-01,2020-04-07,null,UK,51.152189,-1.747414,124.05
03862099999,BOURNEMOUTH,1973-01-01,2020-04-07,null,UK,50.78,-1.8425,11.58
03669199999,BOVINGDON,1942-08-10,1956-12-31,null,UK,51.733,-0.55,157
03764099999,BRACKNELL (AUT),1987-12-02,1992-11-16,null,UK,51.383,-0.8,75
03763099999,BRACKNELL/BEAUFORT,1973-01-01,2003-09-24,null,UK,51.3833333,-0.7833333,74
03603099999,BRAWDY(RAF),1974-10-08,1992-09-25,null,UK,51.883,-5.117,111
03881099999,BREDE,1988-08-08,2003-11-30,null,UK,50.933,0.6,82
03292099999,BRIDLINGTON MRSC,1987-04-30,2020-04-07,null,UK,54.1,-0.1666666,19
03724399999,BRISTOL,1988-01-05,2020-04-07,null,UK,51.382669,-2.719089,189.58
03628399999,BRISTOL FILTON,1994-07-20,2012-12-21,null,UK,51.519444,-2.590833,68.88
03726099999,BRISTOL WEA CENTER,1981-08-01,2001-10-04,null,UK,51.467,-2.6,11
