STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION
26064099999,BEGUNITSY,1973-12-25,1991-01-23,null,RS,59.583,29.317,160
26069099999,BELOGORKA,1959-01-01,2020-04-07,null,RS,59.35,30.1333333,90
22894099999,BOLSHOY BOR,1959-01-01,1961-07-04,null,RS,60.517,28.25,0
02703099999,ESPOO SEPANKYLA,2008-01-16,2015-03-16,null,FI,60.2,24.7333333,31.5
02985199999,ESPOO TAPIOLA,2015-02-17,2020-04-07,null,FI,60.1833333,24.7833333,7.5
02985199999,ESPOO TAPIOLA,2015-02-17,2020-04-07,null,FI,60.1833333,24.7833333,7.5
26157099999,GDOV,1949-08-04,2020-04-07,null,RS,58.7333333,27.8333333,40
02953099999,HAMEENLINNA,1973-01-01,1976-12-31,null,FI,60.983,24.45,92
02754099999,HAMEENLINNA KATINEN,2008-01-16,2020-04-07,null,FI,61,24.5,85
02767099999,HAMEENLINNA LAMMI PAPPILA,2008-01-16,2020-04-07,null,FI,61.05,25.05,125
02982099999,HANKO RUSSARO,1952-01-02,2020-04-07,null,FI,59.7666666,22.95,6.5
02746099999,HANKO TULLINIEMI,2009-07-01,2020-04-07,null,FI,59.8166666,22.9166666,27.5
02750099999,HANKO TVARMINNE,2009-07-01,2020-04-07,null,FI,59.85,23.25,3
02704099999,HATTULA LEPAA AWS,2008-01-16,2020-04-07,null,FI,61.1166666,24.3166666,87
02795099999,HELSINKI HARMAJA,2008-01-17,2020-04-07,null,FI,60.1,24.9833333,6.4
02978099999,HELSINKI KAISANIEMI,2008-01-16,2020-04-07,null,FI,60.1833333,24.95,4
02998099999,HELSINKI KUMPULA,2013-08-05,2020-04-07,null,FI,60.2,24.9666666,24
02989099999,HELSINKI LIGHTHOUSE,2012-06-18,2020-04-07,null,FI,59.95,24.9333333,20.2
02975099999,HELSINKI MALMI,1992-09-30,2017-03-06,null,FI,60.254558,25.042828,17.37
02934099999,HELSINKI RAILWAY STATION SQ,2012-06-18,2015-09-24,null,FI,60.1666666,24.95,3
02974099999,HELSINKI VANTAA,1952-01-01,2020-04-07,null,FI,60.317222,24.963333,54.55
26120099999,HELTERMAA,1959-01-02,1979-04-06,null,EN,58.8666666,23.05,4
02829099999,HYVINKAA HYVINKAANKYLA,2008-01-16,2020-04-07,null,FI,60.6,24.8,87.5
02984099999,INKOO BAGASKAR,1973-01-01,2020-04-07,null,FI,59.9333333,24.0166666,12
02988099999,ISOSAARI,1984-10-01,2008-10-01,null,FI,60.1,25.0666666,7
26144099999,JOGEVA,2001-09-20,2020-04-07,null,EN,58.75,26.4166666,71
26046099999,JOHVI,1955-01-05,2020-04-07,null,EN,59.3333333,27.3833333,75
26049099999,JOHVI ESTONIA,1955-01-05,1957-03-29,null,EN,59.367,27.417,null
02963099999,JOKIOINEN,1957-04-02,2020-04-07,null,FI,60.8166666,23.5,103
02828099999,KAARINA YLTOINEN,2008-01-16,2020-04-07,null,FI,60.3833333,22.55,5.2
26116099999,KARDLA,1959-01-01,2020-03-22,null,EN,58.990756,22.830733,5.48
02986099999,KATAJALUOTO,1973-01-01,1984-09-30,null,FI,60.1,24.917,7
02906099999,KEMIONSAARI KEMIO,2013-08-05,2020-04-07,null,FI,60.1666666,22.75,12
02743099999,KEMIONSAARI VANO,2009-07-01,2020-04-07,null,FI,59.8666666,22.2,8
26059099999,KINGISEPP,1949-09-03,2020-04-07,null,RS,59.3666666,28.6,19
02794099999,KIRKKONUMMI MAKILUOTO,2008-01-16,2020-04-07,null,FI,59.9166666,24.35,2
02967099999,KOTKA HAAPASAARI,2004-08-03,2020-04-07,null,FI,60.2833333,27.1833333,5.5
02968099999,KOTKA KIRKONMAA,2012-06-18,2013-08-30,null,FI,60.3833333,27.05,27.9
02976099999,KOTKA RANKKI,1952-01-01,2020-04-07,null,FI,60.3833333,26.9666666,13.1
02830099999,KOUVOLA ANJALA,2008-01-16,2020-04-07,null,FI,60.7,26.8166666,33
02956099999,KOUVOLA UTTI LENTOPORTINTIE,2013-08-05,2020-04-07,null,FI,60.8833333,26.9333333,99
02990099999,KUMLINGE ISLAND,1984-10-01,2000-12-19,null,FI,60.3,20.75,5
02790099999,KUMLINGE KK,2003-03-30,2020-04-07,null,FI,60.25,20.75,22.5
26045099999,KUNDA,1959-01-02,2020-04-07,null,EN,59.5166666,26.55,3
02964099999,KUSTAVI ISOKARI,2004-08-03,2020-04-07,null,FI,60.7166666,21.0333333,3.9
26134099999,KUUSIKU,1969-01-01,2020-04-07,null,EN,58.9666666,24.7333333,52
02961099999,KUUSKAJASKARI,1973-01-01,1999-12-01,null,FI,61.1333333,21.3666666,10
26124099999,LAANE-NIGULA,1959-01-01,2020-04-07,null,EN,58.95,23.8166666,25
02965099999,LAHTI LAUNE,1973-01-01,2019-05-14,null,FI,60.9666666,25.6333333,78.7
26078099999,LJUBAN',1949-09-03,2020-04-07,null,RS,59.35,31.2333333,39
02706099999,LOHJA PORLA,2008-01-16,2020-04-07,null,FI,60.25,24.05,37
26060099999,LOMONOSOV,1988-12-24,1991-02-16,null,RS,59.917,29.767,2
02992099999,LOVIISA ORRENGRUND,2004-08-03,2020-04-07,null,FI,60.2833333,26.45,3.5
26168099999,LUGA,1949-09-02,1950-12-04,null,RS,58.733,29.883,104
26159099999,LYADY,1959-01-03,1961-07-04,null,RS,58.617,28.833,74.1
26119099999,METSKULA,1959-01-02,1959-01-31,null,EN,58.567,22.533,17
26050099999,MOSCNI ISLAND,1959-01-01,1988-11-30,null,EN,60,27.833,6
26039099999,MUSTAMETSA,1959-01-02,1962-01-17,null,EN,59.45,25.65,70
26034099999,NAISSAAR ISLAND,1961-09-30,1977-12-02,null,EN,59.6,24.417,2
26058099999,NARVA-JOESUU,1959-01-02,2020-04-07,null,EN,59.3894444,28.1166666,29.9
26167099999,NIKOLAEVSKOE,1955-03-04,2020-04-07,null,RS,58.5666666,29.8,91
02983099999,NURMIJARVI GEOPHSICAL OBSERVATORY,2012-06-18,2020-04-07,null,FI,60.5166666,24.65,113
26161099999,OS'MINO,1959-01-01,1989-01-05,null,RS,59.017,29.083,54
22908099999,OSINOVETS,1959-01-01,1960-12-15,null,RS,60.167,31.067,8
22897099999,OZERKI,1959-01-01,2016-06-14,null,FS,60.2,29,11
26029099999,PAKRI,1960-12-05,2020-04-07,null,EN,59.3833333,24.0333333,26
02950099999,PARAINEN FAGERHOLM,2007-12-03,2020-04-07,null,FI,60.1166666,21.7,4.5
02981099999,PARAINEN UTO,1973-01-01,2020-04-07,null,FI,59.7833333,21.3666666,6.8
02991099999,PORVOO EMASALO,2004-08-03,2020-04-07,null,FI,60.2,25.6333333,27.1
02759099999,PORVOO HARABACKA,2008-01-16,2020-04-07,null,FI,60.4,25.6,23.5
02987099999,PORVOO KALLBADAGRUND,2004-02-13,2020-04-07,null,FI,59.9833333,25.6,23.3
26063099999,PULKOVO,1932-01-01,2020-04-07,null,RS,59.800292,30.262503,24.07
02757099999,RAASEPORI JUSSARO,2008-01-16,2020-04-07,null,FI,59.8166666,23.5833333,22.8
26122099999,RIGULDI,1959-01-02,1960-01-12,null,EN,59.133,23.533,3
26115099999,RISTNA,1955-01-05,2020-04-07,null,EN,58.9166666,22.0666666,9
22896099999,ROSCINO,1959-01-01,1991-02-15,null,RS,60.217,29.717,96
02996099999,RYMATTYLA RAULA,2008-01-16,2009-05-07,null,FI,60.4,21.95,7
02756099999,SALO KARKKA,2008-01-16,2020-04-07,null,FI,60.3666666,23.1166666,2
02777099999,SALO KIIKALA AIRFIELD,2004-05-10,2020-04-07,null,FI,60.4666666,23.65,117
26072099999,SHLISSEL'BURG,1959-01-01,2020-04-07,null,RS,59.9333333,31,17
26057099999,SILLAMAE,1959-01-07,1962-12-18,null,EN,59.4,27.75,16
26063599999,SMOLNAYA,1973-01-01,1988-05-13,null,RS,59.983,30.583,18
02949099999,SOMERO SALKOLA,1973-01-01,2020-04-07,null,FI,60.65,23.8,143
22906099999,SOSNOVO,1960-12-14,1988-03-26,null,RS,60.517,30.483,68
22891099999,SOSNOVO,1959-01-01,2016-06-14,null,RS,60.55,30.3166666,70
26063699999,ST. PETERSBURG,1988-06-21,1990-11-28,null,RS,59.967,30.3,4
02973099999,SUOMUSJARVI,1973-01-01,2003-02-07,null,FI,60.4,23.7666666,86
26121099999,SUTLEPA,1955-01-04,1957-03-21,null,EN,59.033,23.65,5
26038099999,TALLINN,1953-02-17,2020-04-07,null,EN,59.413317,24.832844,39.92
26145099999,TILRIKOJA,1955-01-05,2020-04-07,null,EN,58.8666666,26.95,34
22907099999,TOKSOVO,1959-10-23,1991-03-03,null,RS,60.15,30.517,115
