"STATION","DATE","DEWP","DEWP_ATTRIBUTES","ELEVATION","FRSHTT","GUST","LATITUDE","LONGITUDE","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","MXSPD","NAME","PRCP","PRCP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","SNDP","STP","STP_ATTRIBUTES","TEMP","TEMP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES"
"01086099999","2010-01-01","  14.0"," 7","149.35","001000","999.9","70.600256","29.692678","  17.6","*","  15.8","*"," 19.0","BATSFJORD, NO","99.99"," ","9999.9"," 0","999.9","999.9"," 0","  17.1"," 7","  6.8"," 7"," 14.6"," 7"
"01086099999","2010-01-02","  -2.5"," 6","149.35","000000","999.9","70.600256","29.692678","   3.2","*","  -0.4","*"," 27.0","BATSFJORD, NO"," 0.00","I","9999.9"," 0","999.9","999.9"," 0","   1.1"," 6","  7.0"," 6"," 17.5"," 6"
"01086099999","2010-01-03","   3.7"," 7","149.35","001000","999.9","70.600256","29.692678","  10.4","*","   8.6","*"," 15.0","BATSFJORD, NO","99.99"," ","9999.9"," 0","999.9","999.9"," 0","   9.4"," 7","  6.6"," 7","  8.2"," 7"
"01086099999","2010-01-04","  13.3","16","149.35","001000","999.9","70.600256","29.692678","  17.6","*","  12.2","*","  7.0","BATSFJORD, NO","99.99"," ","9999.9"," 0","999.9","999.9"," 0","  15.0","16","  5.8","16","  4.0","16"
"01086099999","2010-01-05","  15.4","14","149.35","001000","999.9","70.600256","29.692678","  19.4","*","  14.0","*","  6.0","BATSFJORD, NO","99.99"," ","9999.9"," 0","999.9","999.9"," 0","  16.6","14","  5.1","14","  3.9","14"
"01086099999","2010-01-06","   3.7","15","149.35","000000","999.9","70.600256","29.692678","  14.0","*","  10.4","*","  7.0","BATSFJORD, NO"," 0.00","I","9999.9"," 0","999.9","999.9"," 0","  12.2","15","  6.3","15","  4.9","15"
"01086099999","2010-01-07","  -0.7","11","149.35","000000"," 34.0","70.600256","29.692678","  15.8","*","   6.8","*"," 25.1","BATSFJORD, NO"," 0.00","I","9999.9"," 0","999.9","999.9"," 0","  11.5","11","  6.4","11"," 16.6","11"
"01086099999","2010-01-08","  10.7","14","149.35","001000"," 40.0","70.600256","29.692678","  24.8","*","   1.4","*"," 30.9","BATSFJORD, NO","99.99"," ","9999.9"," 0","999.9","999.9"," 0","  15.8","14","  6.3","14"," 21.0","14"
"01086099999","2010-01-10","  31.4"," 6","149.35","010000"," 66.0","70.600256","29.692678","  37.4","*","  35.6","*"," 50.9","BATSFJORD, NO","99.99"," ","9999.9"," 0","999.9","999.9"," 0","  36.8"," 6","  7.0"," 6"," 27.9"," 6"
"01086099999","2010-01-11","  22.2","12","149.35","001000"," 43.9","70.600256","29.692678","  24.8","*","  19.4","*"," 34.0","BATSFJORD, NO","99.99"," ","9999.9"," 0","999.9","999.9"," 0","  22.7","12","  4.2","12"," 24.1","12"
"01086099999","2010-01-12","  21.5","11","149.35","001000","999.9","70.600256","29.692678","  26.6","*","  24.8","*"," 28.0","BATSFJORD, NO","99.99"," ","9999.9"," 0","999.9","999.9"," 0","  25.0","11","  6.0","11"," 19.4","11"
"01086099999","2010-01-13","  19.2"," 9","149.35","001000","999.9","70.600256","29.692678","  24.8","*","  21.2","*"," 20.0","BATSFJORD, NO","99.99"," ","9999.9"," 0","999.9","999.9"," 0","  24.4"," 9","  6.8"," 9"," 14.2"," 9"
"01086099999","2010-01-14","  30.1","15","149.35","001000","999.9","70.600256","29.692678","  33.8","*","  32.0","*"," 15.0","BATSFJORD, NO","99.99"," ","9999.9"," 0","999.9","999.9"," 0","  33.1","15","  6.8","15"," 10.3","15"
"01086099999","2010-01-15","  20.8","13","149.35","000000"," 39.0","70.600256","29.692678","  28.4","*","  19.4","*"," 29.9","BATSFJORD, NO"," 0.00","I","9999.9"," 0","999.9","999.9"," 0","  22.7","13","  6.5","13"," 20.1","13"
"01086099999","2010-01-16","   4.4"," 6","149.35","000000"," 40.0","70.600256","29.692678","  10.4","*","   8.6","*"," 35.0","BATSFJORD, NO"," 0.00","I","9999.9"," 0","999.9","999.9"," 0","   8.9"," 6","  6.6"," 6"," 25.3"," 6"
"01086099999","2010-01-17","  12.8"," 6","149.35","000000"," 59.1","70.600256","29.692678","  19.4","*","  14.0","*"," 48.0","BATSFJORD, NO"," 0.00","I","9999.9"," 0","999.9","999.9"," 0","  16.1"," 6","  6.2"," 6"," 36.5"," 6"
"01086099999","2010-01-18","  17.5","13","149.35","001000"," 52.1","70.600256","29.692678","  23.0","*","  19.4","*"," 41.0","BATSFJORD, NO","99.99"," ","9999.9"," 0","999.9","999.9"," 0","  21.3","13","  6.5","13"," 26.0","13"
"01086099999","2010-01-19","  16.5","13","149.35","001000"," 53.0","70.600256","29.692678","  23.0","*","  17.6","*"," 42.0","BATSFJORD, NO","99.99"," ","9999.9"," 0","999.9","999.9"," 0","  19.4","13","  6.5","13"," 32.8","13"
"01086099999","2010-01-20","  23.0","13","149.35","000000"," 36.9","70.600256","29.692678","  39.2","*","  21.2","*"," 26.0","BATSFJORD, NO"," 0.00","I","9999.9"," 0","999.9","999.9"," 0","  25.8","13","  6.7","13"," 21.8","12"
"01086099999","2010-01-21","  30.8","15","149.35","000000","999.9","70.600256","29.692678","  37.4","*","  26.6","*"," 19.0","BATSFJORD, NO"," 0.00","I","9999.9"," 0","999.9","999.9"," 0","  33.4","15","  7.0","15"," 12.3","15"
"01086099999","2010-01-22","   9.4","15","149.35","000000"," 42.0","70.600256","29.692678","  21.2","*","  10.4","*"," 37.9","BATSFJORD, NO"," 0.00","I","9999.9"," 0","999.9","999.9"," 0","  14.8","15","  6.2","15"," 29.4","15"
"01086099999","2010-01-23","   2.3"," 6","149.35","000000","999.9","70.600256","29.692678","  10.4","*","   3.2","*"," 22.0","BATSFJORD, NO"," 0.00","I","9999.9"," 0","999.9","999.9"," 0","   6.5"," 6","  6.3"," 6"," 20.0"," 6"
"01086099999","2010-01-24","   8.6"," 5","149.35","000000","999.9","70.600256","29.692678","  14.0","*","  10.4","*"," 20.0","BATSFJORD, NO"," 0.00","I","9999.9"," 0","999.9","999.9"," 0","  11.3"," 6","  7.0"," 6"," 17.0"," 6"
"01086099999","2010-01-25","   9.7","15","149.35","000000"," 43.9","70.600256","29.692678","  17.6","*","   8.6","*"," 34.0","BATSFJORD, NO"," 0.00","I","9999.9"," 0","999.9","999.9"," 0","  13.9","15","  6.3","15"," 28.4","15"
"01086099999","2010-01-26","  19.7","14","149.35","001000"," 57.9","70.600256","29.692678","  26.6","*","  15.8","*"," 47.0","BATSFJORD, NO","99.99"," ","9999.9"," 0","999.9","999.9"," 0","  21.7","14","  5.3","14"," 36.1","14"
"01086099999","2010-01-27","  21.8","14","149.35","001000"," 42.0","70.600256","29.692678","  26.6","*","  19.4","*"," 39.0","BATSFJORD, NO","99.99"," ","9999.9"," 0","999.9","999.9"," 0","  22.5","15","  5.8","15"," 28.1","15"
"01086099999","2010-01-28","  -0.1","13","149.35","001000","999.9","70.600256","29.692678","   8.6","*","  -0.4","*"," 37.9","BATSFJORD, NO","99.99"," ","9999.9"," 0","999.9","999.9"," 0","   3.1","13","  6.4","13"," 28.7","13"
