DATE,STATION,TEMP
2010-01-01,1086099999,17.1
2010-01-02,1086099999,1.1
2010-01-03,1086099999,9.4
2010-01-04,1086099999,15.0
2010-01-05,1086099999,16.6
2010-01-06,1086099999,12.2
2010-01-07,1086099999,11.5
2010-01-08,1086099999,15.8
2010-01-10,1086099999,36.8
2010-01-11,1086099999,22.7
2010-01-12,1086099999,25.0
2010-01-13,1086099999,24.4
2010-01-14,1086099999,33.1
2010-01-15,1086099999,22.7
2010-01-16,1086099999,8.9
2010-01-17,1086099999,16.1
2010-01-18,1086099999,21.3
2010-01-19,1086099999,19.4
2010-01-20,1086099999,25.8
2010-01-21,1086099999,33.4
2010-01-22,1086099999,14.8
2010-01-23,1086099999,6.5
2010-01-24,1086099999,11.3
2010-01-25,1086099999,13.9
2010-01-26,1086099999,21.7
2010-01-27,1086099999,22.5
2010-01-28,1086099999,3.1
2010-01-29,1086099999,6.0
2010-01-30,1086099999,14.8
2010-02-01,1086099999,10.9
2010-02-02,1086099999,20.0
2010-02-03,1086099999,26.7
2010-02-04,1086099999,11.7
2010-02-05,1086099999,14.7
2010-02-06,1086099999,20.3
2010-02-07,1086099999,24.0
2010-02-08,1086099999,21.5
2010-02-09,1086099999,14.0
2010-02-10,1086099999,8.0
2010-02-11,1086099999,6.8
2010-02-12,1086099999,20.2
2010-02-13,1086099999,26.8
2010-02-14,1086099999,17.8
2010-02-15,1086099999,24.4
2010-02-16,1086099999,15.0
2010-02-17,1086099999,15.6
2010-02-18,1086099999,16.4
2010-02-19,1086099999,14.0
2010-02-20,1086099999,15.8
2010-02-21,1086099999,14.7
2010-02-22,1086099999,11.5
2010-02-23,1086099999,7.1
2010-02-24,1086099999,11.9
2010-02-25,1086099999,19.0
2010-02-26,1086099999,16.3
2010-02-27,1086099999,8.6
2010-02-28,1086099999,8.0
2010-03-01,1086099999,20.8
2010-03-02,1086099999,23.1
2010-03-03,1086099999,22.9
2010-03-04,1086099999,21.5
2010-03-05,1086099999,19.6
2010-03-06,1086099999,18.2
2010-03-07,1086099999,24.4
2010-03-08,1086099999,23.6
2010-03-09,1086099999,20.9
2010-03-10,1086099999,21.6
2010-03-11,1086099999,21.0
2010-03-12,1086099999,18.9
2010-03-13,1086099999,22.7
2010-03-14,1086099999,17.0
2010-03-15,1086099999,14.1
2010-03-16,1086099999,20.6
2010-03-17,1086099999,21.4
2010-03-18,1086099999,17.3
2010-03-19,1086099999,15.6
2010-03-20,1086099999,15.0
2010-03-21,1086099999,18.3
2010-03-22,1086099999,25.2
2010-03-26,1086099999,23.7
2010-03-27,1086099999,23.9
2010-03-28,1086099999,23.3
2010-03-29,1086099999,24.8
2010-03-30,1086099999,26.1
2010-03-31,1086099999,27.1
2010-04-01,1086099999,31.7
2010-04-03,1086099999,35.6
2010-04-04,1086099999,34.2
2010-04-05,1086099999,34.1
2010-04-06,1086099999,33.8
2010-04-07,1086099999,33.4
2010-04-08,1086099999,31.2
2010-04-09,1086099999,33.6
2010-04-10,1086099999,37.1
2010-04-11,1086099999,35.6
2010-04-12,1086099999,36.0
2010-04-13,1086099999,32.8
2010-04-14,1086099999,27.8
2010-04-15,1086099999,34.4
2010-04-16,1086099999,35.0
2010-04-20,1086099999,31.3
2010-04-21,1086099999,29.3
2010-04-22,1086099999,28.5
2010-04-23,1086099999,32.4
2010-04-24,1086099999,27.4
2010-04-25,1086099999,24.8
2010-04-26,1086099999,31.1
2010-04-27,1086099999,31.9
2010-04-28,1086099999,28.8
2010-04-29,1086099999,30.9
2010-04-30,1086099999,30.9
2010-05-02,1086099999,34.9
2010-05-03,1086099999,35.5
2010-05-04,1086099999,31.3
2010-05-05,1086099999,30.7
2010-05-06,1086099999,30.8
2010-05-07,1086099999,31.6
2010-05-08,1086099999,35.9
2010-05-09,1086099999,36.0
2010-05-10,1086099999,36.9
2010-05-11,1086099999,35.0
2010-05-12,1086099999,39.4
